seq,date,date_precision,event_label,event_id,description,actor_role,amount_usd_m,graph_pattern,rules_broken,source,confidence
1,2011-12-31,month,MarketPrice,MP-2011Q4,"Baseline: SCP (credit index / tranche derivatives, illiquid) marked at dealer-quote midpoints through end 2011. Portfolio had generated ~2.0bn gains 2007-2011.",Trader,,"(pos:Position)-[:VALUED_BY]->(m:ValuationMethodology{name:'dealer midpoint'}); (pos)<-[:COMPARED_WITH]-(mp:MarketPrice)",,"JPM 10-Q Q2 2012; PSI report p.1-5",high
2,2012-01-27,day,MethodologyChange,MC-VAR-2012,"New CIO VaR model becomes effective; SCP VaR falls ~44% to ~57m. Approved while the portfolio was breaching limits.",Risk / Model owner,57,"(pos)-[:CHANGED_TO]->(mc:MethodologyChange{kind:'risk model'}); (mc)-[:APPROVED_BY]->(a:Approval) with missing (a)-[:EVIDENCED_BY]->(:Evidence)",R1;R9,"PSI hearing exhibit 77 (OCC emails: 'cio var change effective 1/27/12, VaR -44% to $57mm')",high
3,2012-01-31,month,MethodologyChange,MC-MARK-2012,"Informal change of marking practice: traders stop using midpoints (used until January) and begin marking at the favourable end of the bid-offer spread. No formal methodology change, no committee approval.",Trader / Desk head,,"(pos)-[:CHANGED_TO]->(mc:MethodologyChange{kind:'marking practice',formal:false}); NO (mc)-[:APPROVED_BY]->(:Approval)",R1;R2,"PSI hearing record (Levin opening: 'stopped using the midpoint prices that they had used up until January'); SEC PR 2013-154 dates concealment to March 2012 - use Jan-Mar as the drift window",medium
4,2012-02-29,month,PnLSignal,PNL-FEB,"SCP loses ~69m in January and ~169m in February internally; five major risk limits breached during Q1; limits raised rather than positions cut.",Risk,169,"(pos)-[:GENERATED_SIGNAL]->(s:PnLSignal{unexplained:true}); (pos)-[:SUBJECT_TO_CONTROL]->(c:Control{kind:'risk limit',breached:true}) followed by limit increase instead of Escalation",R6;R4,"PSI report findings (4) Disregarded Risk; monthly loss figures per report ch. III",medium
5,2012-03-16,day,Evidence,EV-SPREADSHEET,"Internal spreadsheet: YTD reported losses 161m; at midpoint prices losses would be 593m (gap 432m). Document exists, is not escalated; CIO head learns of it only in July.",Trader (junior),432,"(ev:Evidence{type:'spreadsheet'})-[:EVIDENCED_BY]-(po:PriceOverride); NO (ev)-[:ESCALATED_TO]->(:Escalation)",R3;R5;R9,"PSI report ch. IV 'Hiding Losses' ('by March 16, 2012 ... $161 million ... $432 million ... $593 million')",high
6,2012-03-20,day,PriceOverride,PO-DAILY-SERIES,"Daily marks entered at the aggressive end of dealer quotes; desk head at times gives a 'desired daily loss' target. Represent as a series of PriceOverride nodes Jan-Mar (one per business day or per week).",Trader / Desk head,,"(pos)-[:OVERRIDDEN_BY]->(po:PriceOverride{deviation_bps, side:'favourable'}) x N; (po)-[:APPROVED_BY]->(a:Approval)-[:APPROVED_BY]->(p:Person{role:'Desk head'}) same desk as pos; NO IPV challenge",R3;R4;R8,"SEC PR 2013-154 ('marked at the most aggressive end of the dealers' bid-offer spread'; 'desired daily loss target')",high
7,2012-03-23,day,PnLSignal,PNL-0323,"Trader estimates in email ~600m loss at midpoint / ~300m at 'best' prices; the book reports a 12m daily loss. Same day the CIO head orders traders to stop trading.",Trader / CIO head,600,"(s:PnLSignal{reported:12,estimated_mid:600}); (pos)-[:SUBJECT_TO_CONTROL]->(c:Control{kind:'trading halt'})",R6;R5,"PSI report ch. IV ('On March 23, Mr. Iksil estimated ... $600 million ... $300 million ... daily loss of only $12 million'; 'on March 23, 2012, CIO head Ina Drew ordered the SCP traders to stop trading')",high
8,2012-03-30,day,IPVReview,IPV-Q1,"Quarter-end: CIO reports a 319m daily loss. Valuation Control Group review finds a 512m difference between midpoint and used prices at 31 March - and upholds the marks as within tolerance. This is the 'control happened and stopped nothing' scene.",VCG (IPV),512,"(pos)-[:REVIEWED_BY]->(ipv:IPVReview{divergence_m:512,outcome:'within tolerance'}); NO (ipv)-[:ESCALATED_TO]->(:Escalation); NO adjustment Evidence",R5;R9,"PSI report ch. IV ('difference ... between using midpoint prices versus more favorable prices totaled $512 million'; findings (3): reviews 'upheld the suspect values')",high
9,2012-04-06,day,Escalation,ESC-MEDIA,"External trigger: press reports on the 'London Whale' positions. Internal escalation is reactive, not control-driven.",External,,"(esc:Escalation{origin:'external/media'})",,"PSI report ch. I (media reports April 6, 2012); public record",high
10,2012-04-10,day,PnLSignal,PNL-0410,"Daily P&L first reported as -6m; 90 minutes later, after a confrontation between two traders, re-issued at roughly -400m.",Trader,400,"(s1:PnLSignal{reported:6})-[:CHALLENGED_BY]->(s2:PnLSignal{reported:~400}) same day",R6;R3,"PSI report ch. IV ('On April 10, 2012, the CIO initially reported an estimated daily loss of $6 million, but 90 minutes later ... issued a new P&L report')",high
